The_blarusian_question_desc;What shall we do with the Belarusians?;;;;;;;;;;;;;x,,,,,,,,
Pskov_genocide_title;§RPskov genocide§;;;;;;;;;;;;;x,,,,,,,,
Pskov_genocide_desc;§RThere's no questions to be answered, they must be exterminated!§;;;;;;;;;;;;;x,,,,,,,,
The_final_solution_title;§RThe final solution§;;;;;;;;;;;;;x,,,,,,,,
The_final_solution_desc;... May god save thier souls...;;;;;;;;;;;;;x,,,,,,,,
Pommerania_Holstein_claims_title;Claim the Germanic coast;;;;;;;;;;;;;x,,,,,,,,
Pommerania_Holstein_claims_desc;In order to place ourselves in the Germanic world, we must first prove ourselves!;;;;;;;;;;;;;x,,,,,,,,
claim_Elbian_leadership_title;Claim Leadership of the Elbians;;;;;;;;;;;;;x,,,,,,,,
claim_Elbian_leadership_desc;Now that we have proven ourselves, it's time to pursue leadership over our Elbian brothers!;;;;;;;;;;;;;x,,,,,,,,
Low_german_union_proclamation_title;Proclaim The Low German Union;;;;;;;;;;;;;x,,,,,,,,
Low_german_union_proclamation_desc;With our leadership over the Elbians, we are now free to expand our interest in Germany;;;;;;;;;;;;;x,,,,,,,,
From_LGC_title;From the Low German Union;;;;;;;;;;;;;x,,,,,,,,
From_LGC_desc;Now that we own all of the Lands considered 'Low German', we can now proclaim the Low German Union;;;;;;;;;;;;;x,,,,,,,,
Help_the_starving_title;Address the Hollowing;;;;;;;;;;;;;x,,,,,,,,
Help_the_starving_desc;We must help the Germans;;;;;;;;;;;;;x,,,,,,,,
A_union_of_equals_title;A Union of Equals;;;;;;;;;;;;;x,,,,,,,,
A_union_of_equals_desc;While we are in a confederation, the balters enjoy a higher privilege. We must revoke this to ensure that this union lasts;;;;;;;;;;;;;x,,,,,,,,
Claim_brabant_title;Claim Brabant;;;;;;;;;;;;;x,,,,,,,,
Claim_brabant_desc;While we own all of the Low Germans, we shouldn't stop here. ONWARDS! TO BRABANT!;;;;;;;;;;;;;x,,,,,,,,
Brabant_question_title;The Brabantian Question;;;;;;;;;;;;;x,,,,,,,,
Brabant_question_desc;Now that we have conquered the Brabantian region, what shall we do with the Brabantians?;;;;;;;;;;;;;x,,,,,,,,
Nuke_burgundian_claims_title;Revoke Burgundian claims;;;;;;;;;;;;;x,,,,,,,,
Nuke_burgundian_claims_desc;While we have conquered our rightful lands, most of the the former Burgundian lands have sizable popluations of Burgundians giving Burgundy a good claim to our land. We must deal with them.;;;;;;;;;;;;;x,,,,,,,,
Nuke_SCA_claims_title;Revoke Scandinavian claims;;;;;;;;;;;;;x,,,,,,,,
Nuke_SCA_claims_desc;While we have conquered our rightful lands, most of the the former Scandinavian lands have sizable popluations of Scandinavians giving Scandinavia a good claim to our land. We must deal with them.;;;;;;;;;;;;;x,,,,,,,,
schizo_japan_title;Bring Civilization To China;;;;;;;;;;;;;x,,,,,,,,
schizo_japan_desc;We Japanese have become the beacon of civilization in asia. Today, once great kingdoms on our continent are falling left and right to the whims of European Imperialists. It is our goal, nay, our responsibility to protect China from their own primitive ways, lest it lead to them being conquered by some who would exploit them. Of course, by doing this, we will exploit them ourselves, but this is acceptable, as they are far too backwards to make proper use of their own land and people.;;;;;;;;;;;;;x,,,,,,,,
what_to_do_with_china_title;What Shall We Do With China?;;;;;;;;;;;;;x,,,,,,,,
what_to_do_with_china_desc;§RRealease The Chinese Emprie as a puppet to continue further. §!We have done it! Finally, we have conquered the Middle Kingdom, once the grandest empire in the world, reduced to another of our Imperial Holdings. Only one question remains, what shall we do with all of this newly acquired land?;;;;;;;;;;;;;x,,,,,,,,
china_schizo_title;Unite The Sinosphere;;;;;;;;;;;;;x,,,,,,,,
china_schizo_desc;For too long China has been bled by the craven, and torn apart by the greedy, forever on the defense. No longer! We will attain unity of all of the distant colonies of the once-great Ming empire.;;;;;;;;;;;;;x,,,,,,,,
china_conquest_unlocker_title;Unlock Conquests Early.;;;;;;;;;;;;;x,,,,,,,,
china_conquest_unlocker_desc;Set the flags to allow for earlier conquest of the Steppe. This is not necessary if you are playing as Taiping.;;;;;;;;;;;;;x,,,,,,,,
accept_tibetans_chi_title;Integrate the Tibetans;;;;;;;;;;;;;x,,,,,,,,
accept_tibetans_chi_desc;The Tibetans and the Chinese have mutally respected eachother's culture for centuries. Given our shared religion, we should strive to make the Tibetans equal under our legal system.;;;;;;;;;;;;;x,,,,,,,,
accept_manchus_chi_title;Integrate the Manchus;;;;;;;;;;;;;x,,,,,,,,
accept_manchus_chi_desc;While they were once invaders, the Manchus have largely integrated into mainline Han chinese culture. We should reward this docility by giving them equal rights to the Han.;;;;;;;;;;;;;x,,,,,,,,
conquer_korea_chi_freed_korea_title;Take Korea
conquer_korea_chi_freed_korea_desc;The Koreans have been a vassal of China for virutally their entire history, and now they hold these funny ideas of independence?! How dare they! We shall put them back in their place.;;;;;;;;;;;;;x,,,,,,,,
conquer_korea_chi_unfreed_korea_title;Liberate Korea;;;;;;;;;;;;;x,,,,,,,,
conquer_korea_chi_unfreed_korea_desc;Korea is suffering under the yolk of Japanese Imperialism, it is up to us to save them if we have the chance! We must liberate Korea from the Japanese, and bring them back to our side!;;;;;;;;;;;;;x,,,,,,,,
claim_england_sca_title;Found The North Sea Empire;;;;;;;;;;;;;x,,,,,,,,
claim_england_sca_desc;Over 800 years ago, Scandinavians took England, our Nordic Brethren, and integrated them into our cultural sphere, we must do this again! We shall take England, who have known nothing but mismanagement and oppression for hundreds of years. The stability our rule shall bring will be welcomed with open arms, surely! Naturally, we will integrate them into our nordic empire with full legal equality to the Scandinavians and Scots. While the Danelaw will be restored, the English will not be subjects this time, but brothers!;;;;;;;;;;;;;x,,,,,,,,
claim_ireland_sca_title;Claim Ireland;;;;;;;;;;;;;x,,,,,,,,
claim_ireland_sca_desc;The Celts, just like the Scandinavians, were once the subjects of our viking ancestors, the Irish too were once under our thumb. Even the great city of Dublin was said to have been founded by Scandinavian explorers. It is only natural that we take them into our sphere, further extending citizen's rights to the Celts.;;;;;;;;;;;;;x,,,,,,,,
conquer_vinland_ARC_subject_title;Integrate Vinland;;;;;;;;;;;;;x,,,,,,,,
conquer_vinland_ARC_subject_desc;After their complete humiliation, the full integration of Vinland into Arcadia is practically a formality at this point. Nonetheless, it is a formality that must be taken in order for our Empire to achieve its natural borders.;;;;;;;;;;;;;x,,,,,,,,
conquer_vinland_ARC_title;Realize Charles II's Dream;;;;;;;;;;;;;x,,,,,,,,
conquer_vinland_ARC_desc;For too long has Vinland been out of the Arcadian Empire's control. All of European Arcadia belongs to our glorious empire, and it is critical that we take Vinland in order to realize the dreams of Charles II. The mad king will no longer look so mad now.;;;;;;;;;;;;;x,,,,,,,,
arc_retake_dua_title;Return Home;;;;;;;;;;;;;x,,,,,,,,
arc_retake_dua_desc;Finally, after nearly a century, the trueborn heirs of the Plantagenet name will seize control of their rightful land. Under the watchful leadership of Emperor Louis I, we shall retake France and England, finally getting back what is ours.;;;;;;;;;;;;;x,,,,,,,,
retvrn_arc_no_dua_title;Return Home;;;;;;;;;;;;;x,,,,,,,,
retvrn_arc_no_dua_desc;While those fools in Europe have squandered our Empire, that shall not stop us! We will forcibly take back what is ours, no longer shall England and France have petty ideas of independence. Our empire belongs to us alone!;;;;;;;;;;;;;x,,,,,,,,
proclaim_triple_monarchy_no_fed_title;Proclaim The Triple Monarchy;;;;;;;;;;;;;x,,,,,,,,
proclaim_triple_monarchy_no_fed_desc;Now that the two worlds of our Empire have had time to settle, it is time that Louis, in the twilight years of his life, finalize his rule. He will declare the end of the Dual Monarchy, and the beginning of a new Empire of two hemispheres. The Triple Monarchy, formally integrating the Arcadian Empire as the third jewel in the former Dual Monarchy's crown.;;;;;;;;;;;;;x,,,,,,,,
proclaim_triple_monarchy_fed_title;Proclaim The Triple Monarchy;;;;;;;;;;;;;x,,,,,,,,
proclaim_triple_monarchy_fed_desc;Now that the two worlds of our Empire have had time to settle, it is time that Louis, in the twilight years of his life, finalize his rule. He will declare the end of the Dual Monarchy, and the beginning of a new Empire of two hemispheres. The Triple Monarchy, formally integrating the Arcadian Empire as the third jewel in the former Dual Monarchy's crown.;;;;;;;;;;;;;x,,,,,,,,
The_voices_title;The Voices;;;;;;;;;;;;;x,,,,,,,,
The_voices_desc;The Voices;;;;;;;;;;;;;x,,,,,,,,
Minor_expansion_title;Minor expansion;;;;;;;;;;;;;x,,,,,,,,
Minor_expansion_desc;The voice demanded we secure our borders, so off we go!;;;;;;;;;;;;;x,,,,,,,,
Major_expansion_title;Major expansion;;;;;;;;;;;;;x,,,,,,,,
Major_expansion_desc;While we have secured our western border, our eastern one lays undefended. THUS WE MUST PURGE THE UNDESIRABLES!;;;;;;;;;;;;;x,,,,,,,,
invite_western_scholars_title;Invite Western Scholars;;;;;;;;;;;;;x,,,,,,,,
invite_western_scholars_desc;It is no secret that our Empire is perhaps the most backwards in all of Asia. Geographical factors have not treated us kindly, central asia being forever on the backdoor of both Europe and East Asia. No longer though, as we shall invite European Scholars to grant us their technological and social innovations, while we keep our culture in tact. We shall invite them, we shall pay them handsomely, and we shall treat them like royaly.;;;;;;;;;;;;;x,,,,,,,,
return_to_our_mongol_roots_title;A Return to Our Roots;;;;;;;;;;;;;x,,,,,,,,
return_to_our_mongol_roots_desc;Following the death of the last great Khan, his young son, Qulpa Khan has taken over his position. Though inexperienced, he has developed a fascination with his Mongol roots, even abandoning the Oirat language in favor of Mongolian. Desipte his inexperience, he has already shown himself to be a capable leader, even has our Khanate tears itself apart. His prowess at command is said to rival even the Khan of Khans himself. He has instituted a sweeping series of reforms, notably adopting the Mongol religion of Buddhism, and declaring the official state language to be Buddhism, as well as inviting several European experts to help in modernizing our country, and more importantly, our army.;;;;;;;;;;;;;x,,,,,,,,
proclaim_yuan_dynasty_schizo_title;Restore our Birthright;;;;;;;;;;;;;x,,,,,,,,
proclaim_yuan_dynasty_schizo_desc;We will declare the empire enstituted by the Red Turbans, and therefore all future Empires which claim the middle kingdom as illegitimate. We will be the only dynasty that can rule China, even if the people of China do not see it so. China has been disunified for far too long, and perhaps some may be willing to accept our stabilizing might.;;;;;;;;;;;;;x,,,,,,,,
create_new_capital_title;Found a New Capital;;;;;;;;;;;;;x,,,,,,,,
create_new_capital_desc;While Beijing is a perfectly serviceable capital, many of the Khan-Turned-Emperor's closeset cronies suggest a different capital may be preferable, as this way we can keep carve out our own identity, different from all of the other pretenders who clung to Beijing so dearly.;;;;;;;;;;;;;x,,,,,,,,
accept_yi_title;Fund Yi Public Works;;;;;;;;;;;;;x,,,,,,,,
accept_yi_desc;The Yi people are a small minority within China, being related distantly to the Han and numbering rather few, they have not garnered the greatest acceptance by their cousins. While they are no large demographic, by funding public works to secure their employment and strengthen their cultural morale, we could make good friends of them.;;;;;;;;;;;;;x,,,,,,,,
accept_miao_title;The Miao Minority;;;;;;;;;;;;;x,,,,,,,,
accept_miao_desc;The Miao, also known as the Hmong people in china represent a small minority, being quite similar in size to the Yi people, living primarily in rural southern China. With a few strategically placed agricultural privledges at the expense of the Han, we could make the Miao allies of our government.;;;;;;;;;;;;;x,,,,,,,,
accept_yue_title;Solving the Cantonese Conundrum;;;;;;;;;;;;;x,,,,,,,,
accept_yue_desc;The Yue Chinese speakers of southern China have been a large beneficiary of our rule, as we have left the company quite open to western trade without so much war between competing dynasties fogging the ports and making sailing unsafe. Now, they are some of our greatest supporters, only requiring a few extra trade benefits to embrace us wholeheartedly.;;;;;;;;;;;;;x,,,,,,,,
end_alt_warlord_era_notyua_title;End The Warlord Era;;;;;;;;;;;;;x,,,,,,,,
end_alt_warlord_era_notyua_desc;The three-way civil war which has destroyed our empire has been resolved, and we the victor! Now we only need to officially declare ourselves as the rulers of China, and foreign governments will have no choice but to recognize us as the only legitimate rulers of China.;;;;;;;;;;;;;x,,,,,,,,
end_alt_warlord_era_yua_title;The Rebels Crushed;;;;;;;;;;;;;x,,,,,,,,
end_alt_warlord_era_yua_desc;Finally, after such a brutal war we have crushed the rebels who have destroyed our country. We have solved the war, and now we need only to remove the last instances of rebellion in our provinces.;;;;;;;;;;;;;x,,,,,,,,
manchuria_vore_yua_title;Manchuria, A Candidate for Conquest;;;;;;;;;;;;;x,,,,,,,,
manchuria_vore_yua_desc;Manchuria is in a compromized position, being stuck between our might empire, and the unfortunately-mighty empire of Japan. We can offer them safety, particularly as they are descended from the Steppe peoples, just as we are. We can find cultural brotherhood, and use it to strengthen ourselves by conquering them.;;;;;;;;;;;;;x,,,,,,,,
cross_the_himalayas_title;Cross The Himalayas;;;;;;;;;;;;;x,,,,,,,,
cross_the_himalayas_desc;The Himalayas are the tallest mountains in the world, but that has not stopped the spread of culture nor religion. Vajrayana Buddhism and ascociated iconography have united the two sides of the mountains, it is only natural that we unify the range.;;;;;;;;;;;;;x,,,,,,,,
claim_SEA_commie_title;Liberate South Eastasia;;;;;;;;;;;;;x,,,,,,,,
claim_SEA_commie_desc;Southeast Asia has been taken by western imperialists, there is no doubt to be had that they will accept our rule. We only need to fully liberate them to prove that we have their best interest in mind. Of course, we must govern them directly to ensure that they fall in line with the monarcho-socialist paradise that our People's Emperor intends on building.;;;;;;;;;;;;;x,,,,,,,,
claim_KOR_commie_title;Liberate Korea;;;;;;;;;;;;;x,,,,,,,,
claim_KOR_commie_desc;Just as Southern Asia has fallen to the hands of western imperialists, Korea, a long-time Chinese client state has fallen into the hands of eastern imperialists, the Japanese. We must rescue them from their foul clutches.;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_shu_title;Snuff Out The Shu;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_shu_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will put our will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_dax_title;eXterminate The Xi;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_dax_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will put our will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_tai_title;Terminate the Taiping;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_tai_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will put our will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_mig_title;Punish The Presidency;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_mig_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will put our will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_tng_title;Make the Tunging Kneel;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_tng_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will force our benevolent will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_gng_title;Put an end to the Yue;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_gng_desc;Hundreds of years ago, our dynasty, our people controlled the most crucial empire in world history, before we were ousted by ungreatful rebel scum. "No!" says Qulpa Khan, we shall take them back. We will force our benevolent will on them, and we will have them accept our governance as if it were their own, even if it takes decades;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_chi_title;Fight The Pretenders;;;;;;;;;;;;;x,,,,,,,,
mop_up_china_chi_desc;Those bastards DARE to call themselves the unifiers of China!? We shall put them in their place!;;;;;;;;;;;;;x,,,,,,,, 
accept_hispano_andean_title;Integrate Andean Latin Amerigans;;;;;;;;;;;;;x,,,,,,,,
accept_hispano_andean_desc;Our taking over of the Ande via our conquest of Granada has lead to a large and vocal minority of spanish-speaking peoples living in the mountains and valleys of the region. While they are quite drastically outpopulated by local natives, they are still our Spanish brethren, and it is only proper that we accept them into Gran Colombia with open arms.;;;;;;;;;;;;;x,,,,,,,,
conquer_quito_clm_title;Conquer Quito;;;;;;;;;;;;;x,,,,,,,,
conquer_quito_clm_desc;The region of Quito remains the last roadblock on our journey to unite all of Spanish Ameriga, a vast region being with an enormous population of natives and relatively few spaniards, it will be difficult for us to control, but it is so large and resource rich, that conquering it is believed by many to be necessary for our empire.;;;;;;;;;;;;;x,,,,,,,,
accept_andean_natives_title;Integrate Andean Natives;;;;;;;;;;;;;x,,,,,,,,
accept_andean_natives_desc;The peoples of the former Incan Empire are a rainbow of diversity, descending from many different tribes, all having unique languages and cultural differences. Now that the Inca have been brought down and Quito humbled, we have room to offer them a place in our empire, as they are far too big for us to reasonably colonize, with the region being too unappetizing to potential settlers. With very generous financial programs, we can make them feel more than at home under our rule.;;;;;;;;;;;;;x,,,,,,,,
ban_slavery_and_serfdom_yua_title;The Twin Evils;;;;;;;;;;;;;x,,,,,,,,
ban_slavery_and_serfdom_yua_desc;Serfdom and slavery are the twin evils which keep our society locked in the dark ages. We must remove both of these practices at once! with generous compensation to the now-former slaveowners and serfholders to avoid any political upheaval such a dramatic course of action will cause.;;;;;;;;;;;;;x,,,,,,,,
make_civil_war_easier_YUA_title;Make The Civil War Easier
make_civil_war_easier_YUA_desc;In lieu of balancing changes which are yet to come, this decision can be taken if the civil war proves too challenging.;;;;;;;;;;;;;x,,,,,,,,
organize_ASP_title;Organize The Oustralia Colony;;;;;;;;;;;;;;x;;;;;;;;
organize_ASP_desc;Against all odds, Spain has managed to secure a significant degree of influence in the southern continent of Australia. We should formalize our rule by creating a full colony to govern it for us.;;;;;;;;;;;;;;x;;;;;;;;
send_colonists_to_asp_title;Send Colonists to Oustralia;;;;;;;;;;;;;;x;;;;;;;;
send_colonists_to_asp_desc;Our colony in Oustralia is filled with natural resources, just waiting to be withdrawn. Now we need only bring Spaniards over to take them!.;;;;;;;;;;;;;;x;;;;;;;;
integrate_asp_title;Integrate Oustralia into the Commonwealth;;;;;;;;;;;;;;x;;;;;;;;
integrate_asp_desc;Just because Oustralia is our newest colony doesn't mean that it is any less important to the Hispanic crown. We should make them an equal part of our empire, just as we have for the Amerigan colonies.;;;;;;;;;;;;;;x;;;;;;;;
