IBG_prussian_constitutionalism;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_hms_government;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_democracy;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,, 
IBG_parliamentary_republic;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_presidential_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_bourgeois_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_proletarian_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_socialist_republic;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_fascist_monarchy;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_fascist_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_ADJ;English;;;;;;;;;;;;;x,,,,,,,,
ELG_absolute_monarchy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_prussian_constitutionalism;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_hms_government;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_democracy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,, 
ELG_parliamentary_republic;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_presidential_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_bourgeois_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_proletarian_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_socialist_republic;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_fascist_monarchy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_fascist_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_ADJ;Albionian;;;;;;;;;;;;;x,,,,,,,,
BTG_absolute_monarchy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_prussian_constitutionalism;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_hms_government;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_democracy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,, 
BTG_parliamentary_republic;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_presidential_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_bourgeois_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_proletarian_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_socialist_republic;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_fascist_monarchy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_fascist_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
LTA;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_ADJ;Lotharingian;;;;;;;;;;;;;x,,,,,,,,
LTA_absolute_monarchy;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_prussian_constitutionalism;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_hms_government;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_democracy;Lotharingia;;;;;;;;;;;;;x,,,,,,,, 
LTA_parliamentary_republic;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_presidential_dictatorship;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_bourgeois_dictatorship;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_proletarian_dictatorship;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_socialist_republic;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_fascist_monarchy;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LTA_fascist_dictatorship;Lotharingia;;;;;;;;;;;;;x,,,,,,,,
LOB;Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_ADJ;Lombardian;;;;;;;;;;;;;x,,,,,,,,
LOB_autonomous_dependency;Duchy of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_absolute_monarchy;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_prussian_constitutionalism;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_hms_government;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_democracy;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,, 
LOB_parliamentary_republic;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_presidential_dictatorship;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_bourgeois_dictatorship;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_proletarian_dictatorship;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_socialist_republic;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_fascist_monarchy;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
LOB_fascist_dictatorship;The Kingdom of Lombardia;;;;;;;;;;;;;x,,,,,,,,
YUA;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
YUA_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,
YUA_absolute_monarchy;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
YUA_absolute_monarchy_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,
YUA_bourgeois_dictatorship;Landlord's Republic of China;;;;;;;;;;;;;;x;;;;;;;;
YUA_bourgeois_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_democracy;United States of China;;;;;;;;;;;;;;x;;;;;;;;
YUA_democracy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_fascist_dictatorship;Undefeated Empire of The East West South North and Center;;;;;;;;;;;;;;x;;;;;;;;
YUA_fascist_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_fascist_monarchy;Celestial Yuan Empire;;;;;;;;;;;;;;x;;;;;;;;
YUA_fascist_monarchy_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
YUA_feudal_monarchy;Chinese Kingdom;;;;;;;;;;;;;;x;;;;;;;;
YUA_feudal_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_hms_government;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
YUA_hms_government_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
YUA_parliamentary_republic;United States of China;;;;;;;;;;;;;;x;;;;;;;;
YUA_parliamentary_republic_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_presidential_dictatorship;Super Asia;;;;;;;;;;;;;;x;;;;;;;;
YUA_presidential_dictatorship_ADJ;Super Asian;;;;;;;;;;;;;;x;;;;;;;;
YUA_proletarian_dictatorship;Chinese Federation;;;;;;;;;;;;;;x;;;;;;;;
YUA_proletarian_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
YUA_prussian_constitutionalism;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
YUA_prussian_constitutionalism_ADJ;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
YUA_socialist_republic;Panasia;;;;;;;;;;;;;;x;;;;;;;;
YUA_socialist_republic_ADJ;Panaisan;;;;;;;;;;;;;;x;;;;;;;
CCH;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
CCH_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,
CCH_absolute_monarchy;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
CCH_absolute_monarchy_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,YUA_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
CCH_bourgeois_dictatorship;Celestial Conglomorate;;;;;;;;;;;;;;x;;;;;;;;
CCH_bourgeois_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_democracy;United States of China;;;;;;;;;;;;;;x;;;;;;;;
CCH_democracy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_fascist_dictatorship;Undefeated Empire of The East West South North and Center;;;;;;;;;;;;;;x;;;;;;;;
CCH_fascist_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_fascist_monarchy;Undefeated Empire of The East West South North and Center;;;;;;;;;;;;;;x;;;;;;;;
CCH_fascist_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_feudal_monarchy;Chinese Kingdom;;;;;;;;;;;;;;x;;;;;;;;
CCH_feudal_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_hms_government;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
CCH_hms_government_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
CCH_parliamentary_republic;United States of China;;;;;;;;;;;;;;x;;;;;;;;
CCH_parliamentary_republic_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_presidential_dictatorship;Statist Republic of China;;;;;;;;;;;;;;x;;;;;;;;
CCH_presidential_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_proletarian_dictatorship;Celestial Commune of China;;;;;;;;;;;;;;x;;;;;;;;
CCH_proletarian_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
CCH_prussian_constitutionalism;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
CCH_prussian_constitutionalism_ADJ;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
CCH_socialist_republic;Panasia;;;;;;;;;;;;;;x;;;;;;;;
CCH_socialist_republic_ADJ;Panaisan;;;;;;;;;;;;;;x;;;;;;;
FCH;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
FCH_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,
FCH_absolute_monarchy;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
FCH_absolute_monarchy_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,YUA_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
FCH_bourgeois_dictatorship;ermwhatthefrick;;;;;;;;;;;;;;x;;;;;;;;
FCH_bourgeois_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_democracy;United States of China;;;;;;;;;;;;;;x;;;;;;;;
FCH_democracy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_fascist_dictatorship;Sons of Han Fei;;;;;;;;;;;;;;x;;;;;;;;
FCH_fascist_dictatorship_ADJ;shit;;;;;;;;;;;;;;x;;;;;;;;
FCH_fascist_monarchy;Sons of Han Fei;;;;;;;;;;;;;;x;;;;;;;;
FCH_fascist_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_feudal_monarchy;Chinese Kingdom;;;;;;;;;;;;;;x;;;;;;;;
FCH_feudal_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_hms_government;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
FCH_hms_government_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
FCH_parliamentary_republic;United States of China;;;;;;;;;;;;;;x;;;;;;;;
FCH_parliamentary_republic_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_presidential_dictatorship;Statist Republic of China;;;;;;;;;;;;;;x;;;;;;;;
FCH_presidential_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_proletarian_dictatorship;Celestial Commune of China;;;;;;;;;;;;;;x;;;;;;;;
FCH_proletarian_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
FCH_prussian_constitutionalism;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
FCH_prussian_constitutionalism_ADJ;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
FCH_socialist_republic;Panasia;;;;;;;;;;;;;;x;;;;;;;;
FCH_socialist_republic_ADJ;Panaisan;;;;;;;;;;;;;;x;;;;;;;
DCH;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
DCH_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,
DCH_absolute_monarchy;Great Yuan;;;;;;;;;;;;;x,,,,,,,,
DCH_absolute_monarchy_ADJ;Yuan;;;;;;;;;;;;;x,,,,,,,,YUA_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
DCH_bourgeois_dictatorship;Celestial Conglomorate;;;;;;;;;;;;;;x;;;;;;;;
DCH_bourgeois_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_democracy;Free-China League;;;;;;;;;;;;;;x;;;;;;;;
DCH_democracy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_fascist_dictatorship;Legion for the Death of China;;;;;;;;;;;;;;x;;;;;;;;
DCH_fascist_dictatorship_ADJ;Eastasian;;;;;;;;;;;;;;x;;;;;;;;
DCH_fascist_monarchy;Legion for the Death of China;;;;;;;;;;;;;;x;;;;;;;;
DCH_fascist_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_feudal_monarchy;Chinese Kingdom;;;;;;;;;;;;;;x;;;;;;;;
DCH_feudal_monarchy_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_hms_government;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
DCH_hms_government_ADJ;Yuan;;;;;;;;;;;;;;x;;;;;;;;
DCH_parliamentary_republic;Free-China LeagueFree-China League;;;;;;;;;;;;;;x;;;;;;;;
DCH_parliamentary_republic_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_presidential_dictatorship;Statist Republic of China;;;;;;;;;;;;;;x;;;;;;;;
DCH_presidential_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_proletarian_dictatorship;Celestial Commune of China;;;;;;;;;;;;;;x;;;;;;;;
DCH_proletarian_dictatorship_ADJ;Chinese;;;;;;;;;;;;;;x;;;;;;;;
DCH_prussian_constitutionalism;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
DCH_prussian_constitutionalism_ADJ;Great Yuan;;;;;;;;;;;;;;x;;;;;;;;
DCH_socialist_republic;Panasia;;;;;;;;;;;;;;x;;;;;;;;
DCH_socialist_republic_ADJ;Panaisan;;;;;;;;;;;;;;x;;;;;;;
AFU;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_ADJ;Italian;;;;;;;;;;;;;x,,,,,,,,
AFU_absolute_monarchy;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_prussian_constitutionalism;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_hms_government;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_democracy;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,, 
AFU_parliamentary_republic;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_presidential_dictatorship;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_bourgeois_dictatorship;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_proletarian_dictatorship;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_socialist_republic;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_fascist_monarchy;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
AFU_fascist_dictatorship;Italian Regency of Carnaro;;;;;;;;;;;;;x,,,,,,,,
ITS;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_ADJ;Italian;;;;;;;;;;;;;x,,,,,,,,
ITS_absolute_monarchy;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_prussian_constitutionalism;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_hms_government;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_democracy;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,, 
ITS_parliamentary_republic;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_presidential_dictatorship;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_bourgeois_dictatorship;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_proletarian_dictatorship;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_socialist_republic;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_fascist_monarchy;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
ITS_fascist_dictatorship;Italian Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_ADJ;Roman;;;;;;;;;;;;;x,,,,,,,,
IRS_absolute_monarchy;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_prussian_constitutionalism;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_hms_government;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_democracy;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,, 
IRS_parliamentary_republic;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_presidential_dictatorship;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_bourgeois_dictatorship;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_proletarian_dictatorship;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_socialist_republic;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_fascist_monarchy;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
IRS_fascist_dictatorship;Roman Shogunate;;;;;;;;;;;;;x,,,,,,,,
ASP;Oustralia;;;;;;;;;;;;;;x;;;;;;;;
ASP_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;
ASP_absolute_monarchy;Oustrália;;;;;;;;;;;;;;x;;;;;;;;
ASP_absolute_monarchy_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;
ASP_democracy;República Oustráliania;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_democracy_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_hms_government;Oustrália;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_hms_government_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_parliamentary_republic;República Oustráliania;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_parliamentary_republic_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
ASP_presidential_dictatorship;República Oustráliania;;;;;;;;;;;;;;x;;;;;;;;
ASP_presidential_dictatorship_ADJ;Oustráliana;;;;;;;;;;;;;;x;;;;;;;;
GTK;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
GTK_ADJ;Teschen;;;;;;;;;;;;;x,,,,,,,,
GTK_absolute_monarchy;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
GTK_prussian_constitutionalism;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
GTK_hms_government;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
GTK_democracy;Greater Teschen Republic;;;;;;;;;;;;;x,,,,,,,, 
GTK_parliamentary_republic;Greater Teschen Republic;;;;;;;;;;;;;x,,,,,,,,
GTK_presidential_dictatorship;Greater Teschen Republic;;;;;;;;;;;;;x,,,,,,,,
GTK_bourgeois_dictatorship;Greater Teschen Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
GTK_proletarian_dictatorship;Greater Teschen Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
GTK_socialist_republic;Greater Teschen Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
GTK_fascist_monarchy;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
GTK_fascist_dictatorship;Greater Teschen Kingdom;;;;;;;;;;;;;x,,,,,,,,
SIG;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_ADJ;Singaporean;;;;;;;;;;;;;x,,,,,,,,
SIG_autonomous_dependency;Crown Colony of Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_absolute_monarchy;Kingdom of Singapura;;;;;;;;;;;;;x,,,,,,,,
SIG_prussian_constitutionalism;Kingdom of Singapura;;;;;;;;;;;;;x,,,,,,,,
SIG_hms_government;Kingdom of Singapura;;;;;;;;;;;;;x,,,,,,,,
SIG_democracy;Singapore;;;;;;;;;;;;;x,,,,,,,, 
SIG_parliamentary_republic;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_presidential_dictatorship;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_bourgeois_dictatorship;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_proletarian_dictatorship;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_socialist_republic;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_fascist_monarchy;Singapore;;;;;;;;;;;;;x,,,,,,,,
SIG_fascist_dictatorship;Singapore;;;;;;;;;;;;;x,,,,,,,,
WFK;West Frankia;;;;;;;;;;;;;x,,,,,,,,
WFK_ADJ;Frankish;;;;;;;;;;;;;x,,,,,,,,
WFK_autonomous_dependency;Duchy of West Frankia;;;;;;;;;;;;;x,,,,,,,,
WFK_absolute_monarchy;West Frankish Kingdom;;;;;;;;;;;;;x,,,,,,,,
WFK_prussian_constitutionalism;West Frankish Kingdom;;;;;;;;;;;;;x,,,,,,,,
WFK_hms_government;West Frankish Kingdom;;;;;;;;;;;;;x,,,,,,,,
WFK_democracy;West Frankish Republic;;;;;;;;;;;;;x,,,,,,,, 
WFK_parliamentary_republic;West Frankish Republic;;;;;;;;;;;;;x,,,,,,,,
WFK_presidential_dictatorship;West Frankish Republic;;;;;;;;;;;;;x,,,,,,,,
WFK_bourgeois_dictatorship;West Frankish Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
WFK_proletarian_dictatorship;West Frankish Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
WFK_socialist_republic;West Frankish Socialist Republic;;;;;;;;;;;;;x,,,,,,,,
WFK_fascist_monarchy;West Frankish Kingdom;;;;;;;;;;;;;x,,,,,,,,
