IBG_prussian_constitutionalism;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_hms_government;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_democracy;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,, 
IBG_parliamentary_republic;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_presidential_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_bourgeois_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_proletarian_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_socialist_republic;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_fascist_monarchy;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_fascist_dictatorship;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_ADJ;English;;;;;;;;;;;;;x,,,,,,,,
ELG_absolute_monarchy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_prussian_constitutionalism;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_hms_government;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_democracy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,, 
ELG_parliamentary_republic;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_presidential_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_bourgeois_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_proletarian_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_socialist_republic;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_fascist_monarchy;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
ELG_fascist_dictatorship;The English Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_ADJ;Albionian;;;;;;;;;;;;;x,,,,,,,,
BTG_absolute_monarchy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_prussian_constitutionalism;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_hms_government;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_democracy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,, 
BTG_parliamentary_republic;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_presidential_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_bourgeois_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_proletarian_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_socialist_republic;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_fascist_monarchy;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
BTG_fascist_dictatorship;The Albionian Commissariat;;;;;;;;;;;;;x,,,,,,,,
