Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
From_LGC_desc;Now that we own all of the Lands considered 'Low German', we can now proclaim the Low German Union;;;;;;;;;;;;;x,,,,,,,,
Help_the_starving_title;Address the Hollowing;;;;;;;;;;;;;x,,,,,,,,
Help_the_starving_desc;We must help the Germans;;;;;;;;;;;;;x,,,,,,,,
A_union_of_equals_title;A Union of Equals;;;;;;;;;;;;;x,,,,,,,,
A_union_of_equals_desc;While we are in a confederation, the balters enjoy a higher privilege. We must revoke this to ensure that this union lasts;;;;;;;;;;;;;x,,,,,,,,
Claim_brabant_title;Claim Brabant;;;;;;;;;;;;;x,,,,,,,,
Claim_brabant_desc;While we own all of the Low Germans, we shouldn't stop here. ONWARDS! TO BRABANT!;;;;;;;;;;;;;x,,,,,,,,
Brabant_question_title;The Brabantian Question;;;;;;;;;;;;;x,,,,,,,,
Brabant_question_desc;Now that we have conquered the Brabantian region, what shall we do with the Brabantians?;;;;;;;;;;;;;x,,,,,,,,
Nuke_burgundian_claims_title;Revoke Burgundian claims;;;;;;;;;;;;;x,,,,,,,,
Nuke_burgundian_claims_desc;While we have conquered our rightful lands, most of the the former Burgundian lands have sizable popluations of Burgundians giving Burgundy a good claim to our land. We must deal with them.;;;;;;;;;;;;;x,,,,,,,,
Nuke_SCA_claims_title;Revoke Scandinavian claims;;;;;;;;;;;;;x,,,,,,,,
Nuke_SCA_claims_desc;While we have conquered our rightful lands, most of the the former Scandinavian lands have sizable popluations of Scandinavians giving Scandinavia a good claim to our land. We must deal with them.;;;;;;;;;;;;;x,,,,,,,,
